precinto,votos,persona,partido
San Juan 001,4313,Alexandra Lúgaro,INDEPENDIENTE
San Juan 002,4140,Alexandra Lúgaro,INDEPENDIENTE
San Juan 003,4387,Alexandra Lúgaro,INDEPENDIENTE
San Juan 004,5162,Alexandra Lúgaro,INDEPENDIENTE
San Juan 005,1305,Alexandra Lúgaro,INDEPENDIENTE
Guaynabo 006,2319,Alexandra Lúgaro,INDEPENDIENTE
Guaynabo 007,3187,Alexandra Lúgaro,INDEPENDIENTE
Cataño 008,1781,Alexandra Lúgaro,INDEPENDIENTE
Bayamón 009,232,Alexandra Lúgaro,INDEPENDIENTE
Bayamón 010,4877,Alexandra Lúgaro,INDEPENDIENTE
Bayamón 011,4994,Alexandra Lúgaro,INDEPENDIENTE
Bayamón 012,714,Alexandra Lúgaro,INDEPENDIENTE
Toa Alta 013,3775,Alexandra Lúgaro,INDEPENDIENTE
Toa Baja 014,4877,Alexandra Lúgaro,INDEPENDIENTE
Dorado 015,2247,Alexandra Lúgaro,INDEPENDIENTE
Vega Alta 016,1175,Alexandra Lúgaro,INDEPENDIENTE
Vega Alta 017,351,Alexandra Lúgaro,INDEPENDIENTE
Vega Baja 018,1106,Alexandra Lúgaro,INDEPENDIENTE
Vega Baja 019,1511,Alexandra Lúgaro,INDEPENDIENTE
Morovis 020,1248,Alexandra Lúgaro,INDEPENDIENTE
Manatí 021,964,Alexandra Lúgaro,INDEPENDIENTE
Manatí 022,988,Alexandra Lúgaro,INDEPENDIENTE
Ciales 023,798,Alexandra Lúgaro,INDEPENDIENTE
Florida 024,446,Alexandra Lúgaro,INDEPENDIENTE
Barceloneta 025,1241,Alexandra Lúgaro,INDEPENDIENTE
Arecibo 026,550,Alexandra Lúgaro,INDEPENDIENTE
Arecibo 027,2625,Alexandra Lúgaro,INDEPENDIENTE
Hatillo 028,311,Alexandra Lúgaro,INDEPENDIENTE
Hatillo 029,1124,Alexandra Lúgaro,INDEPENDIENTE
Camuy 030,1243,Alexandra Lúgaro,INDEPENDIENTE
Quebradillas 031,1159,Alexandra Lúgaro,INDEPENDIENTE
Isabela 032,2106,Alexandra Lúgaro,INDEPENDIENTE
San Sebastián 033,1675,Alexandra Lúgaro,INDEPENDIENTE
Las Marías 034,292,Alexandra Lúgaro,INDEPENDIENTE
Aguadilla 035,2625,Alexandra Lúgaro,INDEPENDIENTE
Moca 036,1306,Alexandra Lúgaro,INDEPENDIENTE
Moca 037,229,Alexandra Lúgaro,INDEPENDIENTE
Aguada 038,2794,Alexandra Lúgaro,INDEPENDIENTE
Rincón 039,1042,Alexandra Lúgaro,INDEPENDIENTE
Añasco 040,1667,Alexandra Lúgaro,INDEPENDIENTE
Mayagüez 041,150,Alexandra Lúgaro,INDEPENDIENTE
Mayagüez 042,3981,Alexandra Lúgaro,INDEPENDIENTE
San Germán 043,447,Alexandra Lúgaro,INDEPENDIENTE
San Germán 044,1452,Alexandra Lúgaro,INDEPENDIENTE
Hormigueros 045,1194,Alexandra Lúgaro,INDEPENDIENTE
Cabo Rojo 046,3422,Alexandra Lúgaro,INDEPENDIENTE
Lajas 047,1226,Alexandra Lúgaro,INDEPENDIENTE
Guánica 048,899,Alexandra Lúgaro,INDEPENDIENTE
Sabana Grande 049,1093,Alexandra Lúgaro,INDEPENDIENTE
Maricao 050,137,Alexandra Lúgaro,INDEPENDIENTE
Yauco 051,771,Alexandra Lúgaro,INDEPENDIENTE
Yauco 052,1432,Alexandra Lúgaro,INDEPENDIENTE
Lares 053,914,Alexandra Lúgaro,INDEPENDIENTE
Utuado 054,854,Alexandra Lúgaro,INDEPENDIENTE
Adjuntas 055,532,Alexandra Lúgaro,INDEPENDIENTE
Jayuya 056,262,Alexandra Lúgaro,INDEPENDIENTE
Jayuya 057,315,Alexandra Lúgaro,INDEPENDIENTE
Guayanilla 058,1085,Alexandra Lúgaro,INDEPENDIENTE
Peñuelas 059,1165,Alexandra Lúgaro,INDEPENDIENTE
Ponce 060,1020,Alexandra Lúgaro,INDEPENDIENTE
Ponce 061,4896,Alexandra Lúgaro,INDEPENDIENTE
Ponce 062,2520,Alexandra Lúgaro,INDEPENDIENTE
Juana Díaz 063,1491,Alexandra Lúgaro,INDEPENDIENTE
Juana Díaz 064,745,Alexandra Lúgaro,INDEPENDIENTE
Villalba 065,1060,Alexandra Lúgaro,INDEPENDIENTE
Orocovis 066,808,Alexandra Lúgaro,INDEPENDIENTE
Santa Isabel 067,953,Alexandra Lúgaro,INDEPENDIENTE
Coamo 068,524,Alexandra Lúgaro,INDEPENDIENTE
Aibonito 069,1568,Alexandra Lúgaro,INDEPENDIENTE
Barranquitas 070,947,Alexandra Lúgaro,INDEPENDIENTE
Barranquitas 071,288,Alexandra Lúgaro,INDEPENDIENTE
Corozal 072,1609,Alexandra Lúgaro,INDEPENDIENTE
Naranjito 073,1480,Alexandra Lúgaro,INDEPENDIENTE
Comerío 074,715,Alexandra Lúgaro,INDEPENDIENTE
Coamo 075,934,Alexandra Lúgaro,INDEPENDIENTE
Cidra 076,2703,Alexandra Lúgaro,INDEPENDIENTE
Cayey 077,2737,Alexandra Lúgaro,INDEPENDIENTE
Salinas 078,1184,Alexandra Lúgaro,INDEPENDIENTE
Guayama 079,1655,Alexandra Lúgaro,INDEPENDIENTE
Arroyo 080,562,Alexandra Lúgaro,INDEPENDIENTE
Aguas Buenas 081,1457,Alexandra Lúgaro,INDEPENDIENTE
Caguas 082,3162,Alexandra Lúgaro,INDEPENDIENTE
Caguas 083,5550,Alexandra Lúgaro,INDEPENDIENTE
Gurabo 084,2332,Alexandra Lúgaro,INDEPENDIENTE
Salinas 085,141,Alexandra Lúgaro,INDEPENDIENTE
San Lorenzo 086,1235,Alexandra Lúgaro,INDEPENDIENTE
San Lorenzo 087,1235,Alexandra Lúgaro,INDEPENDIENTE
Juncos 088,1680,Alexandra Lúgaro,INDEPENDIENTE
Las Piedras 089,1492,Alexandra Lúgaro,INDEPENDIENTE
Las Piedras 090,310,Alexandra Lúgaro,INDEPENDIENTE
Patillas 091,500,Alexandra Lúgaro,INDEPENDIENTE
Maunabo 092,327,Alexandra Lúgaro,INDEPENDIENTE
Yabucoa 093,1366,Alexandra Lúgaro,INDEPENDIENTE
Humacao 094,2151,Alexandra Lúgaro,INDEPENDIENTE
Naguabo 095,922,Alexandra Lúgaro,INDEPENDIENTE
Vieques 096,320,Alexandra Lúgaro,INDEPENDIENTE
Culebra 097,177,Alexandra Lúgaro,INDEPENDIENTE
Ceiba 098,553,Alexandra Lúgaro,INDEPENDIENTE
Fajardo 099,1477,Alexandra Lúgaro,INDEPENDIENTE
Luquillo 100,836,Alexandra Lúgaro,INDEPENDIENTE
Río Grande 101,364,Alexandra Lúgaro,INDEPENDIENTE
Río Grande 102,1649,Alexandra Lúgaro,INDEPENDIENTE
Loíza 103,808,Alexandra Lúgaro,INDEPENDIENTE
Canóvanas 104,888,Alexandra Lúgaro,INDEPENDIENTE
Canóvanas 105,985,Alexandra Lúgaro,INDEPENDIENTE
Carolina 106,1642,Alexandra Lúgaro,INDEPENDIENTE
Carolina 107,2783,Alexandra Lúgaro,INDEPENDIENTE
Carolina 108,4777,Alexandra Lúgaro,INDEPENDIENTE
Trujillo Alto 109,1874,Alexandra Lúgaro,INDEPENDIENTE
Trujillo Alto 110,2222,Alexandra Lúgaro,INDEPENDIENTE
San Juan 001,,David Bernier,
San Juan 002,14133,David Bernier,
San Juan 003,,David Bernier,
San Juan 004,15026,David Bernier,
San Juan 005,4660,David Bernier,
Guaynabo 006,,David Bernier,
